Tempo(s),Fila,E[N],E[W]
7160,146,152.989778,76.022404
7170,136,152.969737,76.023637
7180,146,152.953588,75.995209
7190,141,152.939660,76.009964
7200,140,152.923391,76.028754
7210,142,152.907274,76.052804
7220,146,152.892954,76.040995
7230,148,152.886270,76.027769
7240,147,152.883378,76.058246
7250,156,152.884263,76.017482
7260,158,152.887580,76.040544
7270,166,152.898433,76.015291
7280,162,152.915921,76.050547
7290,167,152.931971,76.053897
7300,161,152.946469,76.092770
7310,158,152.956348,76.113744
7320,156,152.963784,76.107592
7330,151,152.961743,76.096754
7340,153,152.964278,76.098536
7350,157,152.970606,76.081605
7360,149,152.972880,76.108997
7370,149,152.964504,76.146464
7380,154,152.968023,76.128128
7390,155,152.973210,76.131189
7400,149,152.970022,76.130080
7410,153,152.968697,76.124784
7420,161,152.971552,76.131794
7430,153,152.977662,76.176130
7440,137,152.962124,76.209616
7450,134,152.939903,76.224396
7460,136,152.913830,76.227008
7470,138,152.894654,76.202500
7480,135,152.873510,76.217680
7490,134,152.844228,76.193229
7500,134,152.814450,76.178689
7510,142,152.795025,76.159198
7520,137,152.774945,76.154553
7530,126,152.749721,76.192727
7540,121,152.710297,76.188423
7550,118,152.671899,76.139298
7560,110,152.622011,76.149842
7570,101,152.562731,76.150592
7580,97,152.489954,76.129477
7590,91,152.412519,76.131031
7600,98,152.338301,76.084057
7610,93,152.264714,76.067385
7620,81,152.185759,76.028026
7630,90,152.099925,75.960363
7640,96,152.021665,75.911472
7650,100,151.950719,75.866271
7660,110,151.892619,75.783069
7670,99,151.830543,75.772026
7680,109,151.768013,75.696736
7690,97,151.703738,75.694378
7700,100,151.633012,75.654390
7710,97,151.569033,75.637362
7720,96,151.496108,75.586502
7730,93,151.419567,75.563154
7740,95,151.344019,75.515904
7750,90,151.267944,75.492728
7760,91,151.189762,75.415090
7770,109,151.124053,75.324517
7780,125,151.078459,75.253884
7790,129,151.047478,75.214769
7800,124,151.016317,75.223659
7810,133,150.983976,75.188730
7820,132,150.961761,75.192419
7830,143,150.950582,75.177653
7840,133,150.938229,75.171879
7850,130,150.915044,75.175017
7860,127,150.888816,75.186135
7870,143,150.868517,75.114521
7880,139,150.853225,75.107311
7890,130,150.831847,75.120772
7900,125,150.803307,75.121138
7910,116,150.768003,75.118097
7920,119,150.726191,75.107049
7930,110,150.677855,75.125771
7940,109,150.623481,75.122515
7950,101,150.565569,75.108005
7960,93,150.496366,75.087820
7970,95,150.425360,75.052593
7980,85,150.349300,75.019535
7990,83,150.261683,75.004113
8000,81,150.175601,74.961303
8010,84,150.092710,74.896748
8020,80,150.006421,74.872510
8030,85,149.919386,74.819930
8040,85,149.838151,74.760999
8050,89,149.763969,74.691776
8060,81,149.684257,74.666117
8070,75,149.596776,74.645767
8080,65,149.502721,74.631286
8090,55,149.392293,74.590116
8100,66,149.280184,74.525084
8110,59,149.173351,74.481061
8120,68,149.069040,74.419957
8130,74,148.972417,74.371860
8140,73,148.877599,74.329223
8150,78,148.789122,74.271534
8160,81,148.708789,74.236126
8170,84,148.624331,74.166918
8180,85,148.545494,74.145847
8190,93,148.478748,74.076568
8200,96,148.411886,74.047914
8210,90,148.344362,74.027912
8220,89,148.272110,74.001017
8230,91,148.204302,73.949400
8240,87,148.135665,73.933245
8250,97,148.064537,73.897909
8260,94,148.003595,73.889979
8270,94,147.940439,73.849667
8280,97,147.876171,73.813280
8290,92,147.813458,73.799901
8300,102,147.757815,73.763374
8310,103,147.699628,73.716751
8320,100,147.645184,73.685318
8330,100,147.586426,73.669399
8340,98,147.528902,73.618802
8350,101,147.470052,73.589609
8360,92,147.407099,73.545199
8370,96,147.346253,73.484367
8380,93,147.283036,73.474928
8390,96,147.219800,73.439213
8400,94,147.158135,73.434821
8410,75,147.083175,73.415010
8420,80,147.001040,73.374163
8430,82,146.920723,73.325540
8440,71,146.838910,73.297871
8450,76,146.752807,73.263690
8460,79,146.671116,73.236005
8470,73,146.588189,73.190401
8480,73,146.499351,73.124639
8490,62,146.403226,73.089697
8500,65,146.306450,73.020071
8510,70,146.215367,72.966209
8520,70,146.124777,72.916897
8530,73,146.032873,72.883998
8540,81,145.952192,72.848143
8550,90,145.882218,72.796368
8560,86,145.812855,72.766166
8570,87,145.743612,72.752956
8580,94,145.676667,72.715446
8590,99,145.614766,72.672022
8600,105,145.560911,72.632656
8610,98,145.507703,72.648381
8620,86,145.447821,72.631226
8630,88,145.374254,72.581997
8640,86,145.305288,72.543493
8650,83,145.234356,72.499837
8660,80,145.159329,72.466697
8670,83,145.085007,72.421383
8680,80,145.014304,72.407050
8690,82,144.938103,72.369117
8700,86,144.866823,72.321189
8710,98,144.806115,72.257878
8720,107,144.761339,72.186131
8730,112,144.721205,72.166340
8740,109,144.681113,72.163039
8750,97,144.634255,72.152208
8760,88,144.575277,72.168182
8770,88,144.507636,72.138659
8780,85,144.442276,72.110262
8790,89,144.379803,72.066921
8800,92,144.319063,72.024485
8810,93,144.263072,72.017093
8820,99,144.206807,71.976913
8830,112,144.162463,71.934592
8840,110,144.125674,71.920461
8850,108,144.084472,71.904115
8860,110,144.049159,71.894747
8870,97,144.000895,71.911268
8880,103,143.951811,71.886857
8890,97,143.907593,71.885065
8900,87,143.846248,71.874669
8910,93,143.785570,71.840376
8920,85,143.721450,71.832539
8930,82,143.654430,71.811132
8940,78,143.582152,71.771006
8950,73,143.505587,71.744778
8960,83,143.434608,71.673308
8970,76,143.360896,71.648498
8980,78,143.289956,71.593157
8990,73,143.212298,71.554413
9000,75,143.137484,71.513121
9010,67,143.060225,71.474583
9020,70,142.977163,71.429189
9030,71,142.896207,71.384861
9040,73,142.816611,71.364886
9050,81,142.744521,71.317098
9060,86,142.682564,71.282273
9070,87,142.616965,71.237795
9080,81,142.550715,71.212615
9090,75,142.477415,71.199544
9100,66,142.396342,71.174707
9110,79,142.323970,71.111247
9120,70,142.250859,71.090352
9130,74,142.175054,71.029179
9140,69,142.096836,71.001809
9150,57,142.011874,70.971033
9160,50,141.916457,70.938868
9170,53,141.821962,70.880063
9180,58,141.731626,70.842662
9190,62,141.644710,70.799243
9200,66,141.561293,70.753730
9210,56,141.471066,70.708662
9220,55,141.375832,70.645774
9230,58,141.282771,70.587852
9240,52,141.189147,70.552578
9250,61,141.096536,70.487306
9260,54,141.006824,70.450156
9270,58,140.914889,70.408076
9280,62,140.827663,70.345609
9290,45,140.735884,70.307397
9300,47,140.631103,70.262666
9310,44,140.532569,70.224798
